OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
104,Kilmurry Museum,Kilmurry,,Lissarda,Cork,
105,West Cork Heritage Centre,North Main Street,,Bandon,Cork,
106,West Cork Model Railway Village,The Station,Inchydoney Road,Clonakilty,Cork,
107,West Cork Regional Museum,Old Methodist School,Western Road,Clonakilty,Cork,
108,Cape Clear Museum & Archive,,,Cape Clear Island,Cork,
109,Cork Public Museum,Fitzgerald Park,Mardyke,Cork,Cork,
110,Youghal Heritage Centre,,,Youghal,Cork,
111,Spike Island,,,Cork Harbour,Cork,
112,Camden Fort Meagher,Crosshaven,,Cork Harbour,Cork,
113,Michael Collins House ,7 Emmet Square,,Clonakilty,Cork,
114,Triskel Christchurch Arts Centre,Tobin Street,,Cork,Cork,
115,Saint Fin Barre's Cathedral,Dean Street,,Cork,Cork,
116,Kinsale Regional Museum,Market Square,,Kinsale,Cork,
117,Charles Fort,Summer Cove,,Kinsale,Cork,
118,Dunlewey Centre - Ionad Cois Locha,Dunlewey,Gweedore,Letterkenny,Donegal,
119,Donegal County Museum,High Road,,Letterkenny,Donegal,
120,Donegal Studies  - Local and Family History,Central Library,Oliver Plunkett Road,Letterkenny,Donegal,
121,Glebe House and Gallery - The Derek Hill Collection,Church Hill,,Letterkenny,Donegal,
122,Cavanacor House and Gallery,Ballindrait,,Lifford,Donegal,
123,Glencolmcille Folk Village/Fr. McDyer's Folk Village Museum,,,Glencolmcille,Donegal,
124,Donegal Railway Heritage Centre,The Old Station House,Tyrconnell Street,Donegal,Donegal,
125,Donegal Castle,Castle Street,,Donegal,Donegal,
126,St Connells Cultural & Heritage Museum,Main Street,,Glenties,Donegal,
127,Fort Dunree,Linsfort,Buncrana,Inishowen,Donegal,
128,Inishowen Maritime Museum and Planetarium,Old Coastguard Station,,Greencastle,Donegal,
129,Newmills Corn & Flax Mills,Milltown,Newmills,Letterkenny,Donegal,
130,The Dolmen Centre,Kilclooney ,,Portnoo,Donegal,
131,Colmcille Heritage Centre,Gartan,Church Hill,Letterkenny,Donegal,
132,Isaac Butt Heritage Centre,Cloghan,,Ballybofey,Donegal,
133,An tSean Bhearic - Falcarragh Visitor's Centre,Main Street,,Falcarragh,Donegal,
134,The Waterwheels,Abbey Assaroe,,Ballyshannon,Donegal,
135,The Workhouse,Figart,,Dunfanaghy,Donegal,
136,Teach Mhici MacGabhann,Doire Chonaire,Magheraroarty,Letterkenny,Donegal,
137,County Donegal Historical Society Museum,Franciscian Friary,,Rossnowlagh,Donegal,
138,Fintown Railway - An Mhuc Dhubh,Cumann Traenach na Gaeltachta Lair,,Fintown,Donegal,
139,Ardara Heritage Centre,The Diamond,,Ardara,Donegal,
140,Doagh Famine Village,Doagh Island,,Inishowen,Donegal,
141,Glenveagh National Park,Church Hill,,Letterkenny,Donegal,
142,Lurgyvale Thatched Cottages,,,Kilmacrennan,Donegal,
143,The Old Courthouse,The Diamond,,Lifford,Donegal,
144,Graham Family Museum,Ardagh,,St Johnston,Donegal,
145,Old Church VisitorsCentre,beside An Grianan Hotel,Burt,Inishowen,Donegal,
146,Biddy & Joe's Cottage,Galwolie,,Cloghan,Donegal,
147,Donegal County Archives,Three Rivers Centre,,Lifford,Donegal,
148,Lough Derg,Purgatorium Sancti Patricii,Lough Derg,Pettigoe,Donegal,
149,Killybegs International Carpet Making & Fishing Centre,The Carpet Factory,Fintra Road,Killybegs,Donegal,
150,Oakfield Park,,,Raphoe,Donegal,
151,Slieve League Cliffs Centre,Ionad Cultúreach Sliabh Liag,,Teelin,Donegal,
152,Teach John Mhicí Bán,,,Carrigart,Donegal,
153,The Cairn Visitor Centre,Drumaweir,,Greencastle,Donegal,
154,Monreagh Heritage Centre,Old Manse,Monreagh,Carrigans,Donegal,
155,Raphoe Heritage Project,Volt House,The Diamond,Raphoe,Donegal,
156,Castle Ward National Trust,Strangford,,Downpatrick,Down,BT30 7LS
157,Down County Museum,The Mall,,Downpatrick,Down,BT30 6AH
158,Downpatrick Railway Museum,Market Street,,Downpatrick,Down,BT30 6LZ
159,Exploris Aquarium,The Rope Walk,Castle Street,Portaferry,Down,BT22 1NZ
160,F.E. McWilliam Studio and Gallery,200 Newry Road,,Banbridge,Down,BT32 3NB
161,Nendrum Abbey and Monastic Site,Nendrum,,Strangford Lough,Down,BT23 6EP
162,Newry and Mourne Museum,Bagenal's Castle,Castle Street,Newry,Down,BT34 2BY
163,North Down Museum,Town Hall,The Castle,Bangor,Down,BT20 4BT
164,Somme Heritage Centre,233 Bangor Road,Whitespots,Newtownards,Down,BT23 7PH
165,Ulster Folk and Transport Museum,Cultra,,Holywood,Down,BT18 0EU
166,Airfield Trust,Overend Way,Dundrum,Dublin 14,Dublin ,
167,Áras an Uachtaráin,Phoenix Park,,Dublin 8,Dublin ,
168,Ardgillan Castle,,,Balbriggan,Dublin ,
169,All Hallows College Archives,Gracepark Road,Drumcondra,Dublin 9,Dublin ,
170,Phoenix Park Visitor Centre - Ashtown Castle,Ashtown Castle,Phoenix Park,Dublin 8,Dublin ,
171,Drimnagh Castle,Long Mile Road,Drimnagh,Dublin 12,Dublin ,
172,Dublin Castle,Dame Street,,Dublin 2,Dublin ,
173,The Jeanie Johnston Tall Ship,Custom House Quay,,Dublin 1,Dublin ,
174,Waterways Ireland Visitors Centre,Grand Canal Quay,,Dublin 2,Dublin ,
175,GPO Witness History - An Post Museum,General Post Office,O'Connell Street,Dublin 1,Dublin ,
176,Abbey Theatre Archive,26/27 Lower Abbey Street,,Dublin1,Dublin ,
177,Chester Beatty Library,Dublin Castle,Dame Street,Dublin 2,Dublin ,
178,Christ Church Cathedral,Christchurch Place,,Dublin 8,Dublin ,
179,Dublin City Gallery The Hugh lane,Charlemont House,Parnell Square North,Dublin 1,Dublin ,
180,Dublin Writers Museum,18 Parnell Square,,Dublin 1,Dublin ,
181,Dublinia,St Michaels Hill,Christchurch,Dublin 8,Dublin ,
182,Dublins City Hall,City Hall,Dame Street,Dublin 2,Dublin ,
183,Dublin City Library and Archive,138-144 Pearse Street,,Dublin 2,Dublin ,
184,Dublin Fire Brigade Museum,Malahide Road,Marino,Dublin 3,Dublin ,
185,Dublin Zoo,Phoenix Park,,Dublin 8,Dublin ,
186,Dún Laoghaire Local History Department at the Lexicon,Haigh Terrace,Moran Park,Dún Laoghaire,Dublin ,
187,Dunsink Observatory,Castleknock,,Dublin 15,Dublin ,
188,Blessed Edmund Rice House,North Richmond Street,,Dublin 1,Dublin ,
189,Erasmus Smith Trust Archive,The High School,Zion Road,Dublin 6,Dublin ,
190,Farmleigh,Phoenix Park,Castleknock,Dublin 15,Dublin ,
191,Fingal Local Studies & Archives,Clonmel House 2nd Floor,Forster Way,Swords,Dublin ,
192,Freemasons Hall Museum,17 Molesworth Street,,Dublin 2,Dublin ,
193,Fry Model Railway,Casino House,Malahide Road,Malahide,Dublin ,
194,The GAA Museum,St Joseph's Avenue,Drumcondra,Dublin 3,Dublin ,
195,Garda Síochána Museum and Archives,The Records Tower,Dublin Castle,Dublin 2,Dublin ,
196,Gallery of Photography,Meeting House Square,Temple Bar,Dublin 2,Dublin ,
197,Geological Survey of Ireland Archives,Beggars Bush,Haddington Road ,Dublin 4,Dublin ,
198,Geological Museum of Trinity College Dublin,Department of Geology,Trinity College,Dublin 2,Dublin ,
199,Glasnevin Cemetery Museum,Finglas Road,Glasnevin,Dublin 11,Dublin ,
200,"Imaginosity, Dublin's Childrens Museum",The Plaza Beacon South Quarter,Sandyford,Dublin 18,Dublin ,
201,Irish Air Corps Museum,Casement Aerodrome,Baldonnel,Dublin 22,Dublin ,
202,Irish Architectural Archive,45 Merrion Square,,Dublin 2,Dublin ,
203,Irish Film Archive,6 Eustace Street,Temple Bar,Dublin 2,Dublin ,
204,Military Archives,Cathal Brugha Barracks,Rathmines,Dublin 6,Dublin ,
205,Irish Jewish Museum,3 Walworth Road,Portobello,Dublin 8,Dublin ,
206,Irish Labour History Society Museum & Archives,Beggars Bush,Haddington Road ,Dublin 4,Dublin ,
207,Irish Museum of Modern Art,Royal Hospital ,Kilmainham,Dublin 8,Dublin ,
208,Irish Traditional Music Archive,73 Merrion Square,,Dublin 2,Dublin ,
209,Irish Theatre Archive,Dublin City Library and Archive,138-144 Pearse Street,Dublin 2,Dublin ,
210,James Joyce Tower and Museum,Joyce Tower,Sandycove Point,Sandycove,Dublin ,
211,Kilmainham Gaol Museum,Inchicore Road,,Dublin 8,Dublin ,
212,Lambert Puppet Theatre and Museum,Clifton Lane,,Monkstown,Dublin ,
213,Little Museum of Dublin,15 St. Stephen's Green,,Dublin 2,Dublin ,
214,Lusk Heritage Centre,,,Lusk,Dublin ,
215,Malahide Castle & Gardens,Malahide Demense,,Malahide,Dublin ,
216,Marsh's Library,St. Patrick's Close,,Dublin 8,Dublin ,
217,National Botanic Gardens,Glasnevin,,Dublin 9,Dublin ,
218,National Gallery of Ireland,Merrion Square West,,Dublin 2,Dublin ,
219,National Irish Visual Arts Library (NIVAL),The Clock Building NCAD,100 Thomas Street,Dublin 8,Dublin ,
220,National Leprechaun Museum,Twilfit House,Jervis Street,Dublin 1,Dublin ,
221,National Maritme Museum,Haigh terrace,,Dun Laoghaire,Dublin ,
222,National Museum of Ireland - Archaeology,Kildare Street,,Dublin 2,Dublin ,
223,National Museum of Ireland - Decorative Arts & History,Collins Barracks,Benburb Street,Dublin 7,Dublin ,
224,National Museum of Ireland - Natural History,Merrion Street,,Dublin 2,Dublin ,
225,National Photographic Archive,Meeting House Square,,Dublin 2,Dublin ,
226,National Transport Museum of Ireland,Heritage Depot ,Howth Demense,Howth,Dublin ,
227,Newbridge House - Museum of Curiosities,Hearse Road,,Donabate,Dublin ,
228,Newman House,85-86 St. Stephen's Green,,Dublin 2,Dublin ,
229,Number Twenty Nine (Georgian House Museum),29 Fitzwilliam Street Lower,,Dublin 2,Dublin ,
230,Old Jameson Distillery,Bow Street Distillery,Smithfield Village,Dublin 7,Dublin ,
231,Pearse Museum - St. Enda's Park,Grange Road,Rathfarnham,Dublin 16,Dublin ,
232,Plunket Museum of Irish Education,Church of Ireland College of Education,96 Upper Rathmines Road,Dublin 6,Dublin ,
233,Rathfarnham Castle,Rathfarnham,,Dublin 14,Dublin ,
234,Revenue Museum,Crypt of the Chapel Royal,Dublin Castle,Dublin 2,Dublin ,
235,Royal College of Physicians Heritage Centre,6 Kildare Street,,Dublin 2,Dublin ,
236,Royal Irish Academy Library,19 Dawson Street,,Dublin 2,Dublin ,
237,Skerries Mills,Skerries,,Fingal,Dublin ,
238,Local Studies,South Dublin County Library,Library Square,Dublin 24,Dublin ,
239,St. Patrick's Cathedral,St. Patrick's Close,,Dublin 8,Dublin ,
240,St. Audeon's Church & Visitor Centre,Cornmarket,High Street,Dublin 8,Dublin ,
241,St. Mary's Abbey,Meetinghouse Lane,Off Capel Street,Dublin 1,Dublin ,
242,State Apartments,Dublin Castle,,Dublin 2,Dublin ,
243,Swords Heritage Centre,Carnegie Library,North Street,Swords,Dublin ,
244,The Douglas Hyde Gallery,Trinity College,,Dublin 2,Dublin,
245,National Archives of Ireland,Bishop Street,,Dublin 8,Dublin,
246,The Science Gallery,Trinity College,,Dublin 2,Dublin,
247,The Herbarium,The Botany Building,Trinity College,Dublin 2,Dublin,
248,The Old Library & Book of Kells Exhibition,Trinity College,,Dublin 2,Dublin,
249,UCD Archives,UCD James Joyce Library,Belfield,Dublin 4,Dublin,
250,The Classical Museum,UCD John Henry Newman Building,Belfield,Dublin 4,Dublin,
251,Weingreen Museum,Arts and Social Sciences Building - Room 5036,Trinity College,Dublin 2,Dublin,
252,Zoological Museum,Department of Zoology,Trinity College,Dublin 2,Dublin,
253,Guinness Storehouse,St James Gate,,Dublin 8,Dublin ,
254,James Joyce Centre,35 North Great George’s Street,,Dublin 1,Dublin ,
255,James Joyce House of the Dead,15 Ushers Island,,Dublin 8,Dublin ,
256,National Print Museum,Garrisson Chapel Beggar's Bush,Haddington Road ,Dublin 4,Dublin ,
257,National Wax Museum Plus,4 Foster Place,Temple Bar,Dublin 2,Dublin ,
258,Royal Hibernian Academy,RHA Gallery,15 Ely Place,Dublin 2,Dublin ,
259,Hurdy-Gurdy Museum of Vintage Radio,Martello Tower,,Howth,Dublin ,
260,Dalkey Castle & Heritage Centre,Castle Street,,Dalkey,Dublin ,
261,St. Michan's Church,Church Street,,Dublin 7,Dublin ,
262,St. Werburgh'sChurch,Werburgh Street,,Dublin 8,Dublin ,
263,Leinster House,Kildare Street,,Dublin 2,Dublin ,
264,Tailor's Hall,Back Lane,,Dublin 8,Dublin ,
265,National Folklore Collection,UCD John Henry Newman Building,Belfield,Dublin 4,Dublin,
266,Casino Marino,Cherrymount Crescent off Malahide Road,Marino,Dublin 3,Dublin,
267,Irish Whiskey Museum,119 Grafton Street / 37 College Green,,Dublin 2,Dublin,
268,Hard Rock Cafe Dublin,12 Fleet Street,Temple Bar,Dublin 2,Dublin,
269,Sweny's Pharmacy,1 Lincoln Place,,Dublin 2,Dublin,
270,Castle Archdale Country Park,Rossmore,Lisnarick,Enniskillen,Fermanagh,BT94 1PP
271,Fermanagh County Museum,Enniskillen Castle Museums,,Enniskillen,Fermanagh,BT74 7HL
272,Florence Court National Trust,Florence Court,,Enniskillen,Fermanagh,BT92 1DB
273,Marble Arch Caves European Geopark,43 Marlbank Road,Legnabrocky,Florencecourt,Fermanagh,BT92 1EW
274,The Inniskillings Museum,Enniskillen Castle Barracks,,Enniskillen,Fermanagh,BT74 7HL
275,Sheelin Irish Lace Museum,Bellanaleck,,Enniskillen,Fermanagh,BT92 2BA
276,Dartfield Horse Museum and Heritage Centre,Kilrickle,,Loughrea,Galway,
277,Dunguaire Castle,,,Kinvara,Galway,
278,Athenry Heritage Centre,St. Mary's Church,The Square,Athenry,Galway,
279,Athenry Castle,,,Athenry,Galway,
280,Aughnanure Castle,,,Oughterard,Galway,
281,Battle of Aughrim Centre,Aughrim Village,,Ballinasloe,Galway,
282,Castleblakeney Heritage Centre,Castleblakeney,,Ballinasloe,Galway,
283,Clonfert Diocesan Museum,St Brendans Cathedral,Barrack Street,Loughrea,Galway,
284,Dan O'Mara Homestead/Connemara Heritage & History Centre,Lettershea,Lettershea,Clifden,Galway,
285,Connemara Pony Breeders Heritage Centre,The Showgrounds,,Clifden,Galway,
286,Coole Park & Gardens and Visitor Centre,Coole Nature Reserve,,Gort ,Galway,
287,Dún Uí Mhaoilíosa Museum,Renmore Barracks,,Renmore ,Galway,
288,Galway City Museum,Spanish Parade,,Galway,Galway,
289,Glengowla Mines,,,Oughterard,Galway,
290,Inishbofin Heritage Museum,,,Inishbofin,Galway,
291,James Mitchell Geology Museum,Department of Geology,NUI Galway,Galway,Galway,
292,Kiltartan Gregory Museum & Millenium Park,Kiltartan Cross,,Gort,Galway,
293,Kylemore Abbey & Victorian Walled Garden,Kylemore,,Connemara,Galway,
294,Lackagh Museum & Heritage Centre,Lackagh,,Turloughmore,Galway,
295,Leenane Sheep and Wool Centre,Leenane,,Connemara,Galway,
296,Mountbellew Forge Museum & Heritage Centre,Mountbellew Demense,,Mountbellew,Galway,
297,National Aquarium,Galway Atlantaquaria,,Salthill,Galway,
298,Nora Barnacle House,8 Bowling Green,,Galway,Galway,
299,Pearse's Cottage,Inbhear,,near Rosmuc,Galway,
300,Portumna Castle & Gardens,,,Portumna,Galway,
301,Station House Musuem,The Courtyard,Galway Road,Clifden,Galway,
302,Teach Synge,Inishmaan,,Aran Islands,Galway,
303,Thomas Dillon's Claddagh Gold Museum,1 Quay Street,,Galway,Galway,
304,Claregalway Museum,Rooaunmore,,Claregalway,Galway,
305,Herbarium,National University of Ireland Galway,,Galway,Galway,
306,Computer and Communications Museum of Ireland,IDA Business Park,Lower Dangan,Galway,Galway,
307,Kerry County Museum,Ashe Memorial Hall,Denny Street,Tralee,Kerry,
308,Kerry Local History and Archives Department,County Library Headquarters,Moyderwell,Tralee,Kerry,
309,The Skellig Experience Visitor Centre,Valentia Island,,Cahirciveen,Kerry,
310,Valentia Heritage Centre,School Road,Knightstown,Valentia Island,Kerry,
311,The Old Barracks Heritage Centre,Bridge Street,,Cahirciveen,Kerry,
312,Dingle Oceanworld Aquarium,The Wood,,Dingle,Kerry,
313,Ross Castle,,,Killarney,Kerry,
314,Kilgarvan Motor Museum,Slaheny,,Killarney,Kerry,
315,"Muckross House, Gardens & Traditional Farms",The National Park,,Killarney,Kerry,
316,Kenmare Heritage Centre,The Square,,Kenmare,Kerry,
317,Lartigue Monorailway,John B. Keane Road,,Listowel,Kerry,
318,Ardfert Cathedral,Ardfert,,Tralee,Kerry,
319,Derrynane House,Caherdaniel,,Tralee,Kerry,
320,Músaem Chorca Dhuibhne,Ballyferriter,,Tralee,Kerry,
321,Blennerville Windmill,Blennerville,,Tralee,Kerry,
322,Ballybunion Heritage Museum,Church Road,,Ballybunion,Kerry,
323,The Seanchaí Kerry Writers Museum,24 The Square,,Listowel,Kerry,
324,Vintage Wireless Museum,2 Cherrytree Drive,,Listowel,Kerry,
325,"Tarbert Bridewell, Courthouse and Jail",,,Tarbert,Kerry,
326,Tarbert House,,,Tarbert,Kerry,
