OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
407,Tower Museum,Union Hall Place,,Derry,Londonderry,BT48 6LU
408,Battle of Ballinamuck Visitor Centre,1798 Memorial Hall,1798 Memorial Hall,Ballinamuck,Longford,
409,Ardagh Heritage and Creativity Centre,Old Schoolhouse,,Ardagh,Longford,
410,Corlea Trackway Visitor Centre,,,Kenagh,Longford,
411,Longford County Archives and Local Studies,Longford Library Headquarters,,Longford,Longford,
412,Beaulieu House & Gardens,Beaulieu,,Drogheda,Louth,
413,County Museum Dundalk,Roden Place,Jocelyn Street,Dundalk,Louth,
414,Highlanes Gallery,St. Laurence Street,,Drogheda,Louth,
415,Louth County Archives Service,Old Gaol,,Dundalk,Louth,
416,Drogheda Museum Millmount,Millmount Complex,,Drogheda,Louth,
417,Carlingford Heritage Centre,,,Carlingford,Louth,
418,The Tholsel Information Centre,West Street,,Drogheda,Louth,
419,Old Mellifont Abbey Visitor Centre,Tullyallen,,Drogheda,Louth,
420,Agnes Burn Cottage & Visitor Centre,Stephenstown Road,Knockbridge,Dundalk,Louth,
421,Shrine of St. Oliver Plunkett,St. Peter's Church,West Street,Drogheda,Louth,
422,Clarke Railway Station,Carrickmacross Road,,Dundalk,Louth,
423,Cooley Peninsula Tourist Office,The Old Railway Station,,Carlingford,Louth,
424,Greenore Railway Museum,Euston Street,,Greenore,Louth,
425,Ballintubber Abbey & The Celtic Furrow,Ballintubber,,Claremorris,Mayo,
426,Belcarra Eviction Cottage,Elmhall,,Belcarra,Mayo,
427,Céide Fields Visitor Centre,,,Ballycastle,Mayo,
428,Famine Museum and Grainne Uaile Centre,Former St. Catherines Church of Ireland,,Louisburgh,Mayo,
429,Clew Bay Heritage Centre,The Quay,,Westport,Mayo,
430,Teach Na Miasa - Croagh Patrick Visitor Centre,Teach na Miasa,,Murrisk,Mayo,
431,Jackie Clarke Collection,Pearse Street,,Ballina,Mayo,
432,Ionad Deirbhle Visitor Centre,Eachleim,,Blacksod,Mayo,
433,Foxford Woollen Mills Visitor Centre,,,Foxford,Mayo,
434,Father Peyton CSC Memorial Centre,Attymass,,Ballina,Mayo,
435,Hennigans Heritage Centre,Killasser,,Swinford,Mayo,
436,Kiltimagh Railway Museum,Old Railway Station ,,Kiltimagh ,Mayo,
437,Knock Museum,The Shrine,,Knock,Mayo,
438,Mayo North Heritage Centre,Enniscoe,Castlehill,Ballina ,Mayo,
439,Mayo Local Studies,Local History Department of Central Library,John Moore Road,Castlebar,Mayo,
440,Michael Davitt Museum,Straide,,Foxford ,Mayo,
441,National Museum of Ireland - Country Life ,Turlough Park ,,Castlebar,Mayo,
442,Quiet Man Cottage Museum,Circular Road,,Cong,Mayo,
443,Clogher Heritage Complex,Newtown,Clogher,Claremorris,Mayo,
444,Westport House,,,Westport,Mayo,
445,Belleek Castle,,,Ballina,Mayo,
446,Battle of the Boyne Visitor Centre,Oldbridge,,Drogheda,Meath,
447,Columban Mission Awareness Centre,Daigan Park,,Navan,Meath,
448,Irish Military War Museum,Starinagh,,Collon,Meath,
449,Francis Ledwidge Museum,Janeville,,Slane,Meath,
450,Meath Local Studies,Library Headquarters,Railway Street,Navan,Meath,
451,Slane Castle,,,Slane,Meath,
452,Brú na Boinne Visitor Centre,,,Donore,Meath,
453,Monaghan County Museum,1-2 Hill Street,,Monaghan,Monaghan,
454,Patrick Kavanagh Centre,,,Inniskeen,Monaghan,
455,The Wildlife and Heritage Centre,Listinny,,Clontibret,Monaghan,
456,Clones Lace Museum,Ulster Canal Stores,Cara Street,Clones,Monaghan,
457,Clogher Historical Society,St Macartans College,,Monaghan,Monaghan,
458,Carrickmacross Workhouse,Shercock Road,,Carrickmacross,Monaghan,
459,Clonmacnoise Visitors Centre,,,Shannonbridge,Offaly,
460,Tullamore Dew Visitor Centre,Bury Quay,,Tullamore,Offaly,
461,Birr Castle Gardens and Science Centre,Birr Demesne,,Birr,Offaly,
462,The Explorer's Museum,Charleville Castle,,Tullamore,Offaly,
463,Offaly Local Studies and Archives Service,County Library Headquarters,O'Connor Square,Tullamore,Offaly,
464,Presentation Convent,,,Killina,Offaly,
465,Cruachan Aí / Rathcroghan Heritage Centre,,,Tulsk,Roscommon,
466,Boyle Abbey,,,Boyle,Roscommon,
467,Castlecoote House,,,Castlecoote,Roscommon,
468,Elphin Windmill,Windmill Road,,Elphin,Roscommon,
469,Clay Pipe Visitor Centre,,,Knockcroghery,Roscommon,
470,Clonallis House,,,Castlerea,Roscommon,
471,Derryglad Folk & Heritage Museum,Curraghboy,,Athlone,Roscommon,
472,Dr. Douglas Hyde Interpretive Centre,Portahard,,Frenchpark,Roscommon,
473,Drum Heritage Visitor Centre,Drum,,Athlone,Roscommon,
474,Hells Kitchen Railway Museum,Main Street,,Castlerea,Roscommon,
475,Strokestown Park - The Irish National Famine Museum,Strokestown Park House,,Strokestown,Roscommon,
476,King House: Historic Mansion and Military Barracks,Main Street,,Boyle,Roscommon,
477,Roscommon County Museum,John Harrison Memorial Hall,The Square,Roscommon,Roscommon,
478,Arigna Mining Experience,Derreenavoggy ,,Arigna,Roscommon,
479,Carrowmore Visitor Centre & Megalithic Cemetery,,,Carrowmore,Sligo,
480,Lissadell House,Lissadell,,Ballinfull,Sligo,
481,Sligo Abbey,Abbey Street,,Sligo,Sligo,
482,The Model and Niland Collection,The Mall,,Sligo,Sligo,
483,Sligo Local Studies,County Library,Stephen Street,Sligo,Sligo,
484,Sligo Folk Park,Millview House,,Riverstown,Sligo,
485,The Yeats Memorial Building,Hyde Bridge,,Sligo,Sligo,
486,Sligo County Museum,Stephen Street,,Sligo,Sligo,
487,The Coleman Irish Music Centre,,,Gurteen ,Sligo,
488,Dolly's Cottage,,,Strandhill,Sligo,
489,Bolton Library,John Street,,Cashel,Tipperary,
490,Cahir Castle,,,Cahir,Tipperary,
491,Tipperary Agricultural and Heritage Museum,Golden,,Cashel,Tipperary,
492,Ormonde Castle,Castle Park,Off Castle Street,Carrick -0n-Suir,Tipperary,
493,Redwood Castle,,,Lorrha,Tipperary,
494,Carrick on Suir Heritage Centre,Main Street,,Carrick on Suir,Tipperary,
495,Farney Castle,,,Holy Cross,Tipperary,
496,Fethard Folk Farm and Transport Museum,Cashel Road,,Fethard,Tipperary,
497,Lár na Páirce,Slievnamon Road,,Thurles,Tipperary,
498,Nenagh Heritage Centre,The Governor's House ,Kickham Street,Nenagh,Tipperary,
499,Parson's Green Agricultural Museum,Parson's Green Family Park,,Clogheen,Tipperary,
500,"Roscrea Heritage, Castle and Damer House",Castle Street,,Roscrea,Tipperary,
501,Swiss Cottage,Kilcommmon,,Cahir,Tipperary,
502,The Famine Warhouse 1848,,,Ballingarry,Tipperary,
503,Slieveardagh Coalmining Museum,The Old Schoolhouse,Commons,Ballingarry,Tipperary,
504,Thurles Famine and War Museum,St. Mary's Church of Ireland,,Thurles,Tipperary,
505,Tipperary County Museum,Mick Delahunty Square,,Clonmel,Tipperary,
506,Rock of Cashel,St. Patrick's Rock of Cashel,,Cashel,Tipperary,
507,Cashel Folk Village,St. Dominics Street,,Cashel,Tipperary,
508,Cashel Heritage Centre,City Hall,,Cashel,Tipperary,
509,Brú Ború Heritage Centre,,,Cashel,Tipperary,
510,Tipperary County Archives Service,Carrigeen Business Park,,Clonmel,Tipperary,
511,Museum of Transport,Gortnafleur Business Park,Waterford Road,Clonmel,Tipperary,
